Agent,Outcome1,Outcome2,Action,Incentive,Pivotality,Subject,Context,RoundNum
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,15,Football,13
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,15,Business,14
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,15,Business,15
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,15,Business,16
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,15,Business,17
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,15,Football,18
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,15,Business,19
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,15,Football,20
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,15,Business,21
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,15,Football,22
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,15,Football,23
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,15,Football,24
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,15,Football,25
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,15,Business,26
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,15,Football,27
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,15,Football,28
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,15,Football,29
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,15,Business,30
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,15,Business,31
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,15,Business,32
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,16,Business,1
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,16,Business,2
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,16,Football,3
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,16,Business,4
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,16,Football,5
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,16,Football,6
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,16,Football,7
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,16,Business,8
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,16,Business,9
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,16,Business,10
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,16,Football,11
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,16,Football,12
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,16,Business,13
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,16,Business,14
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,16,Football,15
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,16,Football,16
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,16,Football,17
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,16,Football,18
Professional football player,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,16,Football,19
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,16,Business,20
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,16,Football,21
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,16,Business,22
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,16,Football,23
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,16,Football,24
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,16,Football,25
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,16,Business,26
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,16,Business,27
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,16,Business,28
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,16,Business,29
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,16,Business,30
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,16,Business,31
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,16,Football,32
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,17,Football,1
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,17,Football,2
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,17,Football,3
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,17,Business,4
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,17,Football,5
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,17,Football,6
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,17,Business,7
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,17,Football,8
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,17,Business,9
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,17,Football,10
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,17,Business,11
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,17,Business,12
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,17,Business,13
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,17,Football,14
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,17,Business,15
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,17,Football,16
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,17,Football,17
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,17,Business,18
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,17,Football,19
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,17,Football,20
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,17,Business,21
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,17,Business,22
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,17,Business,23
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,17,Business,24
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,17,Football,25
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,17,Business,26
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,17,Business,27
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,17,Football,28
Professional football player,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,17,Football,29
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,17,Business,30
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,17,Football,31
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,17,Business,32
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,18,Business,1
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,18,Business,2
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,18,Football,3
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,18,Football,4
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,18,Football,5
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,18,Business,6
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,18,Football,7
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,18,Business,8
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,18,Football,9
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,18,Business,10
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,18,Football,11
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,18,Business,12
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,18,Football,13
Professional football player,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,18,Football,14
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,18,Football,15
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,18,Business,16
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,18,Business,17
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,18,Football,18
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,18,Football,19
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,18,Business,20
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,18,Business,21
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,18,Football,22
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,18,Business,23
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,18,Business,24
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,18,Football,25
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,18,Football,26
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,18,Business,27
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,18,Business,28
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,18,Football,29
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,18,Business,30
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,18,Football,31
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,18,Business,32
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,19,Football,1
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,19,Business,2
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,19,Business,3
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,19,Football,4
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,19,Football,5
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,19,Football,6
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,19,Business,7
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,19,Business,8
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,19,Football,9
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,19,Football,10
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,19,Football,11
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,19,Football,12
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,19,Football,13
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,19,Business,14
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,19,Business,15
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,19,Business,16
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,19,Football,17
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,19,Business,18
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,19,Business,19
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,19,Business,20
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,19,Football,21
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,19,Business,22
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,19,Football,23
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,19,Business,24
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,19,Football,25
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,19,Football,26
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,19,Business,27
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,19,Football,28
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,19,Business,29
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,19,Business,30
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,19,Football,31
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,19,Business,32
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,20,Football,1
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,20,Business,2
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,20,Football,3
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,20,Football,4
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,20,Football,5
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,20,Business,6
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,20,Business,7
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,20,Business,8
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,20,Football,9
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,20,Football,10
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,20,Business,11
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,20,Business,12
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,20,Business,13
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,20,Football,14
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,20,Football,15
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,20,Football,16
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,20,Business,17
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,20,Football,18
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,20,Business,19
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,20,Football,20
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,20,Football,21
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,20,Football,22
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,20,Business,23
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,20,Business,24
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,20,Business,25
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,20,Business,26
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,20,Business,27
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,20,Football,28
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,20,Football,29
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,20,Football,30
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,20,Business,31
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,20,Business,32
Professional football player,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,21,Football,1
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,21,Football,2
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,21,Business,3
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,21,Football,4
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,21,Football,5
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,21,Football,6
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,21,Business,7
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,21,Football,8
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,21,Business,9
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,21,Football,10
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,21,Football,11
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,21,Business,12
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,21,Business,13
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,21,Football,14
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,21,Business,15
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,21,Football,16
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,21,Business,17
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,21,Football,18
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,21,Football,19
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,21,Business,20
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,21,Business,21
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,21,Business,22
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,21,Football,23
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,21,Business,24
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,21,Business,25
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,21,Business,26
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,21,Football,27
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,21,Business,28
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,21,Business,29
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,21,Football,30
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,21,Football,31
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,21,Business,32
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,22,Football,1
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,22,Business,2
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,22,Business,3
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,22,Business,4
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,22,Business,5
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,22,Business,6
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,22,Business,7
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,22,Business,8
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,22,Football,9
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,22,Business,10
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,22,Football,11
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,22,Business,12
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,22,Business,13
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,22,Football,14
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,22,Business,15
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,22,Football,16
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,22,Business,17
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,22,Football,18
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,22,Football,19
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,22,Football,20
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,22,Football,21
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,22,Business,22
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,22,Football,23
